Username,Email,Phone Number,Password,Address,Latitude,Longitude,Provider Type,Provider Name,State,City
"Ronald A Moreno, DDS, PS","RonaldAMoreno,DDS,PS@gmail.com",(360) 676-0642,Ronald@123,"3115 Howe Pl Ste 101Bellingham, WA 98226",48.77182,-122.448044,dental-care,"Ronald A Moreno, DDS, PS",WA,acme
Schmidt Orthodontics,SchmidtOrthodontics@gmail.com,(360) 738-4772,Schmidt@123,"3115 Howe Pl Ste 201Bellingham, WA 98226",48.771816,-122.44805,dental-care,Schmidt Orthodontics,WA,acme
Harbinder Bal,HarbinderBal@gmail.com,(360) 715-8400,Harbinder@123,"4291 Meridian St Ste 101Bellingham, WA 98226",48.797085,-122.48616,dental-care,Harbinder Bal,WA,acme
"Shoff, Michael, DDS","Shoff,Michael,DDS@gmail.com",(360) 676-1401,"Shoff,@123","3628 Meridian St Ste 2BBellingham, WA 98225",48.77947,-122.485916,dental-care,"Shoff, Michael, DDS",WA,acme
"Edward Chin, DDS","EdwardChin,DDS@gmail.com",(360) 389-3198,Edward@123,"3100 Squalicum Pkwy Ste 103Bellingham, WA 98225",48.77216,-122.47073,dental-care,"Edward Chin, DDS",WA,acme
"Li, Hong, DDS","Li,Hong,DDS@gmail.com",(855) 433-6825,"Li,@123","4164 Meridian StBellingham, WA 98226",48.792656,-122.48576,dental-care,"Li, Hong, DDS",WA,acme
Saraswathi Hanumanthegowda,SaraswathiHanumanthegowda@gmail.com,(360) 715-8400,Saraswathi@123,"4291 Meridian St Ste 101Bellingham, WA 98226",48.797085,-122.48616,dental-care,Saraswathi Hanumanthegowda,WA,acme
"Dieveney-Hinkle Jane DDS - G. Steven Sawicki, DDS","Dieveney-HinkleJaneDDS-G.StevenSawicki,DDS@gmail.com",(360) 734-8846,Dieveney-Hinkle@123,"450 Birchwood Ave Ste ABellingham, WA 98225",48.77722,-122.47734,dental-care,"Dieveney-Hinkle Jane DDS - G. Steven Sawicki, DDS",WA,acme
William J K Saiget Pc,WilliamJKSaigetPc@gmail.com,(360) 746-0946,William@123,"224 36th StBellingham, WA 98225",48.731274,-122.47082,dental-care,William J K Saiget Pc,WA,acme
"Choi, Insun, DDS","Choi,Insun,DDS@gmail.com",(360) 671-0062,"Choi,@123","3120 Howe PlBellingham, WA 98226",48.771847,-122.44763,dental-care,"Choi, Insun, DDS",WA,acme
Bellingham Endodontics,BellinghamEndodontics@gmail.com,(360) 671-3977,Bellingham@123,"3628 Meridian StBellingham, WA 98225",48.77929,-122.4859,dental-care,Bellingham Endodontics,WA,acme
"Christopher William Kyles, DMD, MD","ChristopherWilliamKyles,DMD,MD@gmail.com",(360) 746-6492,Christopher@123,"400 E Mcleod RdBellingham, WA 98226",48.78249,-122.48031,dental-care,"Christopher William Kyles, DMD, MD",WA,acme
"Mathew, Brian D, DDS","Mathew,BrianD,DDS@gmail.com",(360) 734-9926,"Mathew,@123","3400 Squalicum PkwyBellingham, WA 98225",48.772003,-122.46806,dental-care,"Mathew, Brian D, DDS",WA,acme
"Susan A Nordstrom, DMD, MS","SusanANordstrom,DMD,MS@gmail.com",(855) 433-6825,Susan@123,"4164 Meridian StBellingham, WA 98226",48.792656,-122.48576,dental-care,"Susan A Nordstrom, DMD, MS",WA,acme
Bellingham Denture Clinic,BellinghamDentureClinic@gmail.com,(360) 647-0395,Bellingham@123,"2003 N State StBellingham, WA 98225",48.755806,-122.46638,dental-care,Bellingham Denture Clinic,WA,acme
CarrDorsch Family Dental,CarrDorschFamilyDental@gmail.com,(360) 734-9926,CarrDorsch@123,"3400 Squalicum Pkwy Ste 107Bellingham, WA 98225",48.772003,-122.46806,dental-care,CarrDorsch Family Dental,WA,acme
"Marco, Antonio M, DDS","Marco,AntonioM,DDS@gmail.com",(360) 676-6177,"Marco,@123","1616 Cornwall AveBellingham, WA 98225",48.75346,-122.474884,dental-care,"Marco, Antonio M, DDS",WA,acme
"Dennis Ha Doering, DDS, PS","DennisHaDoering,DDS,PS@gmail.com",(360) 733-1334,Dennis@123,"2940 Newmarket St Ste 101Bellingham, WA 98226",48.76993,-122.44331,dental-care,"Dennis Ha Doering, DDS, PS",WA,acme
Robert S Chaddock DDS,RobertSChaddockDDS@gmail.com,(360) 855-0351,Robert@123,"2814 Flint StBellingham, WA 98226",48.76711,-122.413185,dental-care,Robert S Chaddock DDS,WA,acme
Bayview Dental,BayviewDental@gmail.com,(360) 733-4940,Bayview@123,"1800 C StBellingham, WA 98225",48.756306,-122.481285,dental-care,Bayview Dental,WA,acme
Ellis Randal W DMD,EllisRandalWDMD@gmail.com,(360) 592-1100,Ellis@123,"3739 Mt Baker HwyEverson, WA 98247",48.843426,-122.286575,dental-care,Ellis Randal W DMD,WA,acme
"Rosemary Chen, DDS","RosemaryChen,DDS@gmail.com",(360) 389-3198,Rosemary@123,"3100 Squalicum Pkwy Ste 103Bellingham, WA 98225",48.77216,-122.47073,dental-care,"Rosemary Chen, DDS",WA,acme
Whatcom Dental,WhatcomDental@gmail.com,(360) 255-5000,Whatcom@123,"1225 E Sunset Dr, #140Bellingham, WA 98226",48.77296,-122.4587,dental-care,Whatcom Dental,WA,acme
Swanson Randel P DDS,SwansonRandelPDDS@gmail.com,(360) 671-9979,Swanson@123,"707 W Bakerview RdBellingham, WA 98226",48.78952,-122.50269,dental-care,Swanson Randel P DDS,WA,acme
Ce Family Dental-Bellingham Office Location,CeFamilyDental-BellinghamOfficeLocation@gmail.com,(360) 738-9791,Ce@123,"1310 Broadway St Ste 1aBellingham, WA 98225",48.74896,-122.48868,dental-care,Ce Family Dental-Bellingham Office Location,WA,acme
Cordata Dental,CordataDental@gmail.com,(360) 647-0525,Cordata@123,"4540 Cordata PkwyBellingham, WA 98226",48.805355,-122.49585,dental-care,Cordata Dental,WA,acme
"Chris Rosinski, DDS","ChrisRosinski,DDS@gmail.com",(360) 647-0525,Chris@123,"333 Calluna Ct Ste 102Bellingham, WA 98226",48.792816,-122.4918,dental-care,"Chris Rosinski, DDS",WA,acme
"Dennis Lane Hoofnagle, DDS","DennisLaneHoofnagle,DDS@gmail.com",(360) 676-1651,Dennis@123,"911 N Forest StBellingham, WA 98225",48.74401,-122.48177,dental-care,"Dennis Lane Hoofnagle, DDS",WA,acme
Gary G Nordquist DDS,GaryGNordquistDDS@gmail.com,(360) 676-2770,Gary@123,"3400 Squalicum Pkwy Ste 105Bellingham, WA 98225",48.772003,-122.46806,dental-care,Gary G Nordquist DDS,WA,acme
"Pinzon, Sandra R, DDS","Pinzon,SandraR,DDS@gmail.com",(360) 734-1999,"Pinzon,@123","102 Samish WayBellingham, WA 98225",48.73528,-122.4701,dental-care,"Pinzon, Sandra R, DDS",WA,acme
"Luke Matthew Tarver, DDS","LukeMatthewTarver,DDS@gmail.com",(360) 734-2822,Luke@123,"610 Dupont St Ste 129Bellingham, WA 98225",48.755592,-122.48174,dental-care,"Luke Matthew Tarver, DDS",WA,acme
Robert W Emery,RobertWEmery@gmail.com,(360) 306-1727,Robert@123,"3579 S Grace LnBellingham, WA 98226",48.772144,-122.41232,dental-care,Robert W Emery,WA,acme
The Local Dentist,TheLocalDentist@gmail.com,(360) 543-8488,The@123,"2219 Rimland DrBellingham, WA 98226",48.773308,-122.443306,dental-care,The Local Dentist,WA,acme
"Tetrick, Jill N, DDS","Tetrick,JillN,DDS@gmail.com",(360) 734-4374,"Tetrick,@123","3628 Meridian StBellingham, WA 98225",48.77929,-122.4859,dental-care,"Tetrick, Jill N, DDS",WA,acme
"Salish Sedation Services, P","SalishSedationServices,P@gmail.com",(360) 734-1420,Salish@123,"2930 Squalicum PkwyBellingham, WA 98225",48.772255,-122.47523,dental-care,"Salish Sedation Services, P",WA,acme
"William G Nichols, DMD","WilliamGNichols,DMD@gmail.com",(360) 734-7055,William@123,"2201 James StBellingham, WA 98225",48.7592,-122.46512,dental-care,"William G Nichols, DMD",WA,acme
Ronald Wright,RonaldWright@gmail.com,(360) 676-1357,Ronald@123,"2818 Mcleod RdBellingham, WA 98225",48.78257,-122.503815,dental-care,Ronald Wright,WA,acme
"Monica Foley, D.D.S.","MonicaFoley,D.D.S.@gmail.com",(360) 734-2822,Monica@123,"610 Dupont St Suite 129Bellingham, WA 98225",48.7559,-122.48195,dental-care,"Monica Foley, D.D.S.",WA,acme
Bellingham Denture Clinic,BellinghamDentureClinic@gmail.com,(360) 647-0395,Bellingham@123,"1329 King StBellingham, WA 98229",48.746048,-122.46403,dental-care,Bellingham Denture Clinic,WA,acme
"Elsie Aileen Nguyen, DMD","ElsieAileenNguyen,DMD@gmail.com",(360) 734-6300,Elsie@123,"4145 Meridian StBellingham, WA 98226",48.791035,-122.48634,dental-care,"Elsie Aileen Nguyen, DMD",WA,acme
"Bright Now! Dental & Orthodontics - Bellingham, WA","BrightNow!Dental&Orthodontics-Bellingham,WA@gmail.com",(360) 715-8400,Bright@123,"4291 Meridian St Ste 101Bellingham, WA 98226",48.797085,-122.48616,dental-care,"Bright Now! Dental & Orthodontics - Bellingham, WA",WA,acme
Bellingham Pediatric Dentistry,BellinghamPediatricDentistry@gmail.com,(360) 676-7130,Bellingham@123,"1301 J StBellingham, WA 98225",48.757427,-122.49065,dental-care,Bellingham Pediatric Dentistry,WA,acme
Aspen Dental,AspenDental@gmail.com,(800) 761-7166,Aspen@123,N/A,N/A,N/A,dental-care,Aspen Dental,WA,acme
"Oswald, Michael, DDS","Oswald,Michael,DDS@gmail.com",(360) 671-6333,"Oswald,@123","3628 Meridian St Ste 2ABellingham, WA 98225",48.77947,-122.485916,dental-care,"Oswald, Michael, DDS",WA,acme
"Haley, Parker J, DDS","Haley,ParkerJ,DDS@gmail.com",(360) 734-6190,"Haley,@123","1100 Ellis StBellingham, WA 98225",48.74108,-122.47157,dental-care,"Haley, Parker J, DDS",WA,acme
"Alkhateeb, Abdullah W, DDS","Alkhateeb,AbdullahW,DDS@gmail.com",(360) 939-3035,"Alkhateeb,@123","3800 Byron AveBellingham, WA 98229",48.733494,-122.4663,dental-care,"Alkhateeb, Abdullah W, DDS",WA,acme
Jeffrey Pearson,JeffreyPearson@gmail.com,(360) 715-8400,Jeffrey@123,"4291 Meridian St Ste 101Bellingham, WA 98226",48.797085,-122.48616,dental-care,Jeffrey Pearson,WA,acme
Swanson Pediatric Dental Center Inc,SwansonPediatricDentalCenterInc@gmail.com,(360) 671-9979,Swanson@123,"2000 BroadwayBellingham, WA 98225",48.761314,-122.48584,dental-care,Swanson Pediatric Dental Center Inc,WA,acme
"Jennifer J Ra, DMD","JenniferJRa,DMD@gmail.com",(360) 676-1499,Jennifer@123,"2710 Meridian StBellingham, WA 98225",48.76587,-122.48587,dental-care,"Jennifer J Ra, DMD",WA,acme
